data,ano,trimestre,mes,direcao,consignee,consignee_cnpj,consignee_type,Classificação Forwarder,forwarder,forwarder_cnpj,forwarder_type,Classificação Notify,notify,notify_cnpj,notify_raiz_cnpj,notify_type,shipper,shipper_cnpj,shipper_type,carrier,mercadoria_ncm2,mercadoria_ncm4,container,origem_tradelane,origem_country,origem_porto,destino_tradelane,destino_country,destino_porto,teus,negocios com craft 12m
2025-03-01,2025,3,JUN,Importação,Consignee_0,58147546666198,Forwarder,Médio,Forwarder_0,40236517150144,Real,Baixo,Notify_0,92779659169470,52603445,Agente,Shipper_0,63444788502732,Agente,Carrier_0,56 - Categoria_0,6350 - Subcategoria_0,40DC,Asia,Alemanha,Shanghai,África,EUA,Nova Iorque,60,Sim
2025-06-01,2025,3,JUN,Exportação,Consignee_1,80163224061214,Real,Top,Forwarder_1,72556086768484,Real,Baixo,Notify_1,34196410358887,64950598,Agente,Shipper_1,64112065331965,Agente,Carrier_1,75 - Categoria_1,9639 - Subcategoria_1,20DC,Asia,Argentina,Shanghai,África,EUA,Nova Iorque,19,Sim
2025-08-01,2025,2,JUN,Exportação,Consignee_2,77033363397313,Forwarder,Médio,Forwarder_2,10698723629702,Agente,Baixo,Notify_2,16323328148857,90435788,Real,Shipper_2,26072146721351,Real,Carrier_2,53 - Categoria_2,8339 - Subcategoria_2,40HC,Europa,Argentina,Shanghai,América do Norte,EUA,Nova Iorque,37,Não
2025-09-01,2025,3,MAR,Exportação,Consignee_3,94913797220198,Real,Top,Forwarder_3,87929114954079,Real,Baixo,Notify_3,78290935668228,51798086,Agente,Shipper_3,88104777165608,Agente,Carrier_3,27 - Categoria_3,9629 - Subcategoria_3,20DC,América do Sul,Argentina,Hamburgo,América do Norte,França,Le Havre,45,Sim
2025-07-01,2025,2,AUG,Exportação,Consignee_4,75452892114015,Real,Top,Forwarder_4,91391329051979,Real,Médio,Notify_4,53889649953110,20641040,Real,Shipper_4,72370726581297,Agente,Carrier_4,21 - Categoria_4,3550 - Subcategoria_4,40HC,Europa,China,Hamburgo,Europa,EUA,Lagos,49,Sim
2025-08-01,2025,1,FEB,Importação,Consignee_5,94960146519856,Forwarder,Médio,Forwarder_5,96920833289910,Agente,Médio,Notify_5,15667494357837,14256148,Agente,Shipper_5,81835536910904,Real,Carrier_5,14 - Categoria_5,3071 - Subcategoria_5,40DC,América do Sul,Argentina,Hamburgo,África,Nigéria,Lagos,26,Não
2025-07-01,2025,2,APR,Importação,Consignee_6,88074880826642,Forwarder,Top,Forwarder_6,92869966896819,Agente,Baixo,Notify_6,59712383726309,12956674,Agente,Shipper_6,97110368386722,Real,Carrier_6,20 - Categoria_6,2116 - Subcategoria_6,40DC,Europa,China,Shanghai,África,Nigéria,Le Havre,47,Não
2025-07-01,2025,4,MAY,Exportação,Consignee_7,61096010414762,Forwarder,Baixo,Forwarder_7,77517194460208,Real,Médio,Notify_7,33574609869859,34096349,Agente,Shipper_7,60968036861979,Agente,Carrier_7,17 - Categoria_7,8471 - Subcategoria_7,20DC,América do Sul,Alemanha,Santos,América do Norte,EUA,Lagos,34,Sim
2025-01-01,2025,1,FEB,Exportação,Consignee_8,25585706464348,Forwarder,Médio,Forwarder_8,30044558584454,Real,Top,Notify_8,53747178648651,51109724,Real,Shipper_8,51055363837172,Agente,Carrier_8,97 - Categoria_8,9717 - Subcategoria_8,20DC,Asia,Brasil,Santos,África,Nigéria,Lagos,25,Sim
2025-02-01,2025,3,MAY,Importação,Consignee_9,98223869199004,Forwarder,Médio,Forwarder_9,81954265871703,Real,Top,Notify_9,28362123157932,59062835,Agente,Shipper_9,65271705342726,Real,Carrier_9,60 - Categoria_9,1703 - Subcategoria_9,20DC,América do Sul,Argentina,Shanghai,América do Norte,EUA,Nova Iorque,72,Sim
